course,lecturer,students,venue,room,capacity,timeslot,duration,level
PET 414,Mr. Ipinsokan Sunday Bolu,66,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Thursday_11-12,2,400
PSS411,Unknown Lecturer,66,WORKSHOP,WORKSHOP,100,Friday_8-9,2,400
MAC414,Mrs. Bamigbolayin-Afolabi Oluwafolafunmi Omoladun,66,CENTRE CLASS,CENTRE CLASS,180,Friday_11-12,2,400
PHY412,Unknown Lecturer,66,SEMINARROOM,SEMINARROOM,120,Saturday_4-5,2,400
BLD417,Unknown Lecturer,66,LAB,LAB,150,Friday_3-4,2,400
PET 419,Dr. Dike Humphrey Nwenenda,66,PHY_LAB,PHY_LAB,150,Tuesday_4-5,2,400
ICE 413,Unknown Lecturer,66,E101,E101,250,Monday_12-1,1,400
ENG418,Dr. Language Lecturer (LAN placeholder),66,G201,G201,220,Thursday_5-6,2,400
ENG410,Dr. English Lecturer (ENG placeholder),66,PET 300LH,PET 300LH,220,Monday_1-2,2,400
CHM 455,Dr. Anake Winifred Uduak,65,CHE 300LH,CHE 300LH,220,Saturday_8-9,2,400
ARC 418,Dr. Olagunju Omoniyi Ogheneruemu,65,PET 300LH,PET 300LH,220,Friday_8-9,2,400
MAT 432,Dr. Imaga Ogbu Famous,65,STUDIO100,STUDIO100,250,Friday_11-12,2,400
SOC414,Mr. Olore Amos Adebayo,65,CHE 500LH,CHE 500LH,150,Wednesday_8-9,3,400
CHM417,Prof. Williams Akan Bassey,65,STUDIO 22,STUDIO 22,100,Saturday_8-9,2,400
IRH415/EHR215,Unknown Lecturer,65,HALL302(PHY LAB),HALL302(PHY LAB),220,Saturday_11-12,2,400/200
MCE431,Unknown Lecturer,65,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Thursday_8-9,1,400
BCH435,Prof. Rotimi Solomon Oladapo,65,UNKNOWN,UNKNOWN,100,Friday_3-4,2,400
MAT 434,Prof. Timothy Anake Ashibel,65,HALL302PHYLAB,HALL302PHYLAB,180,Monday_2-3,1,400
MAT412,Dr. Adedotun Adedayo Funmi,65,CHEM_LAB_113,CHEM_LAB_113,140,Wednesday_5-6,1,400
CEN434,Unknown Lecturer,65,PHY_LAB,PHY_LAB,150,Saturday_4-5,2,400
CVE437,Engr. Emmanuel Aremu,65,LT2,LT2,1400,Thursday_10-11,2,400
CEN 417,Unknown Lecturer,64,FLUID LAB,FLUID LAB,120,Wednesday_3-4,1,400
BIO 337,Prof. Oranusi Solomon Uche,64,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Tuesday_10-11,2,300
BIO331,Dr. Ayanda Opeyemi Isaac,64,STUDIO 300,STUDIO 300,180,Saturday_2-3,2,300
SOC 419,Dr. Adetunde Christiana Olufunke,64,E301,E301,220,Wednesday_10-11,2,400
BIO311,Dr. Aworunse Rotimi Samuel,64,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Saturday_8-9,2,300
ECN415,Unknown Lecturer,64,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Wednesday_1-2,2,400
CHE515,Prof. Efeovbokhan Vincent Enontiemonria,64,A201,A201,220,Thursday_10-11,1,500
EIE414,Unknown Lecturer,64,STUDIO 300,STUDIO 300,180,Monday_1-2,2,400
HMD411,Unknown Lecturer,64,CHE 400LH,CHE 400LH,180,Friday_1-2,1,400
PET419,Mr. Kehinde Awelewa Emmanuel,64,HALL213(PHY LAB),HALL213(PHY LAB),130,Saturday_9-10,1,400
SOC 416,Dr. Egharevba Matthew Etinosa,64,HALL313,HALL313,100,Wednesday_11-12,2,400
PHY434,Unknown Lecturer,63,STUDIO 100,STUDIO 100,280,Wednesday_12-1,2,400
CHE415/435,Dr. Alagbe Edith Egbimhanlu,63,STUDIO300,STUDIO300,180,Tuesday_11-12,2,400
BIO314,Dr. Benson Adeola Elizabeth,63,HALL201,HALL201,450,Wednesday_5-6,2,300
CHE417,Prof. Ayeni Omoniyi Augustine,63,LANG LAB,LANG LAB,120,Wednesday_5-6,2,400
PHY419,Unknown Lecturer,62,FLUID LAB,FLUID LAB,120,Wednesday_4-5,2,400
CHE530,Prof. Omoleye Abiodun James,62,STUDIO400,STUDIO400,120,Thursday_2-3,1,500
CHE416/436,Dr. Igbokwe Ezinne Chinonye,62,HALL107,HALL107,500,Wednesday_11-12,1,400
BIO332,Prof. Omonhinmin Asotie Conrad,61,LAB,LAB,150,Wednesday_10-11,2,300
CHE513/533,Dr. Sanni Samuel Eshorame,61,TEMP_HALL_2,TEMP_HALL_2,250,Thursday_10-11,2,500
CHE414/434,Mr. Adeshina Ayo Joshua,60,BCH_LAB,BCH_LAB,150,Wednesday_9-10,2,400
CHE517/53 4,Dr. Ayoola Ayodeji Ayodele,60,STUDIO 500,STUDIO 500,100,Monday_9-10,1,500
PHY432,Unknown Lecturer,60,E202,E202,250,Friday_8-9,2,400
PHY431,Unknown Lecturer,60,CENTRE CLASS,CENTRE CLASS,180,Thursday_9-10,2,400
CHE410/418,Dr. Babatunde Damilola Elizabeth,57,CVE 300LH,CVE 300LH,220,Wednesday_5-6,2,4400
CHE514,Dr. Abatan Olubunmi Grace,57,CVE 400LH,CVE 400LH,180,Monday_10-11,1,500
BIO415,Dr. Aworunse Rotimi Samuel,56,STUDIO400,STUDIO400,120,Thursday_8-9,2,400
BIO419,Dr. Isibor Patrick Omoregie,56,A201,A201,220,Friday_11-12,2,400
CHE 411/ 432,Dr. Oke Michael Abidemi,55,E201,E201,250,Wednesday_12-1,2,400
PHY417,Unknown Lecturer,55,BIOLAB,BIOLAB,140,Friday_5-6,2,400
BIO432,Prof. Omonhinmin Asotie Conrad,53,STUDIO 500,STUDIO 500,100,Thursday_12-1,2,400
PHY418,Unknown Lecturer,53,STUDIO300,STUDIO300,180,Friday_1-2,3,400
CHE434/41 4,Dr. Abatan Olubunmi Grace,53,TEMP_HALL_2,TEMP_HALL_2,250,Tuesday_8-9,1,400
BIO416,Prof. Obembe Olawole Odun,52,FLUID LAB,FLUID LAB,120,Thursday_4-5,2,400
CHE411,Dr. Abatan Olubunmi Grace,50,E301,E301,220,Thursday_8-9,1,400
CHE 433/ 413,Dr. Ayoola Ayodeji Ayodele,49,CHE 300LH,CHE 300LH,220,Friday_5-6,2,400
CHE410/41 8,Dr. Babatunde Damilola Elizabeth,49,HALL306,HALL306,350,Wednesday_2-3,1,400
CHE433/413,Dr. Sanni Samuel Eshorame,49,E301,E301,220,Monday_5-6,2,400
BIO418,Prof. Akinnola Olayemi Oluseun,49,STUDIO 400,STUDIO 400,120,Saturday_8-9,1,400
BIO 418,Prof. Obembe Olawole Odun,48,CHE 200LH,CHE 200LH,250,Thursday_9-10,2,400
BIO 419,Prof. Omonhinmin Asotie Conrad,47,BCH LAB,BCH LAB,180,Tuesday_12-1,1,400
BIO411,Prof. Obembe Olawole Odun,46,GBL,GBL,200,Saturday_1-2,1,400
BIO 431,Dr. Oziegbe Olubukola,42,G201,G201,220,Monday_4-5,2,400
BIO414,Dr. Ahuekwe Eze Frank,39,HALL213(PHY LAB),HALL213(PHY LAB),130,Tuesday_1-2,2,400
